Ownership name,DBA name,Address,NIACS Code,NAICS Code Description,Parking,Business Location
Stephens Institute Inc,Academy Of Art University,79 New Montgomery St Fl 3,6100-6299,Private Education and Health Services,FALSE,"-122.400776, 37.7877"
Stephens Institute Inc,Acad Art College Supply Store,79 New Montgomery St,6100-6299,Private Education and Health Services,FALSE,"-122.400776, 37.7877"
Stephens Institute Inc,Academy Of Art University,410 Bush St,6100-6299,Private Education and Health Services,FALSE,"-122.404484, 37.790697"
Stephens Institute Inc,Academy Of Art University,2225 Jerrold Ave,6100-6299,Private Education and Health Services,FALSE,"-122.400812, 37.74525"
Stephens Institute Inc,Academy Of Art University,180 New Montgomery St,6100-6299,Private Education and Health Services,FALSE,"-122.399502, 37.786634"
Stephens Institute Inc,Academy Of Art University,540 Powell St,6100-6299,Private Education and Health Services,FALSE,"-122.408673, 37.789736"
Stephens Institute Inc,Academy Of Art University,460 Townsend St,6100-6299,Private Education and Health Services,FALSE,"-122.398633, 37.774234"
Stephens Institute Inc,Academy Of Art University,1835 Van Ness Ave #49,6100-6299,Private Education and Health Services,FALSE,"-122.422943, 37.792972"
Stephens Institute Inc,Academy Of Art University,620 Sutter St,6100-6299,Private Education and Health Services,FALSE,"-122.410677, 37.788972"
Stephens Institute Inc,Academy Of Art University,655 Sutter St,6100-6299,Private Education and Health Services,FALSE,"-122.41109, 37.788919"
Stephens Institute Inc,Academy Of Art University,1055 Pine St,6100-6299,Private Education and Health Services,FALSE,"-122.413156, 37.790564"
Stephens Institute Inc,Academy Of Art University,121 Wisconsin St,6100-6299,Private Education and Health Services,FALSE,"-122.39975, 37.765733"
Stephens Institute Inc,Academy Of Art University,150 Hayes St,6100-6299,Private Education and Health Services,FALSE,"-122.418822, 37.777396"
Stephens Institute Inc,Academy Of Art University,2300 Stockton St,6100-6299,Private Education and Health Services,FALSE,"-122.410549, 37.807161"
Stephens Institute Inc,Academy Of Art University,2801 Leavenworth St,6100-6299,Private Education and Health Services,FALSE,"-122.418926, 37.807088"
Stephens Institute Inc,Academy Of Art University,466 Townsend St,6100-6299,Private Education and Health Services,FALSE,"-122.399076, 37.773883"
Stephens Institute Inc,Academy Of Art University,491 Post St,6100-6299,Private Education and Health Services,FALSE,"-122.409734, 37.788127"
Stephens Institute Inc,Academy Of Art University,601 Brannan St,6100-6299,Private Education and Health Services,FALSE,"-122.399103, 37.776302"
Stephens Institute Inc,Academy Of Art University,625 Polk St,6100-6299,Private Education and Health Services,FALSE,"-122.419041, 37.782393"
Stephens Institute Inc,Academy Of Art University,631 Howard St,6100-6299,Private Education and Health Services,FALSE,"-122.398792, 37.786347"
Stephens Institute Inc,Academy Of Art University,688 Sutter St,6100-6299,Private Education and Health Services,FALSE,"-122.411745, 37.788834"
Stephens Institute Inc,Academy Of Art University,700 Montgomery St,6100-6299,Private Education and Health Services,FALSE,"-122.40335, 37.795699"
Stephens Institute Inc,Academy Of Art University,701 Chestnut St,6100-6299,Private Education and Health Services,FALSE,"-122.41492, 37.803547"
Stephens Institute Inc,Academy Of Art University,860 Sutter St,6100-6299,Private Education and Health Services,FALSE,"-122.411407, 37.788878"
Stephens Institute Inc,Academy Of Art University,60 Federal St,6100-6299,Private Education and Health Services,FALSE,"-122.392413, 37.783211"
Stephens Institute Inc,Academy Of Art University,740 Taylor St,6100-6299,Private Education and Health Services,FALSE,"-122.41202, 37.789316"
Anderson Enterprises Inc,Royal Motor Sales,285 Van Ness Ave,4400-4599,Retail Trade,FALSE,"-122.417827, 37.768642"
Anderson Enterprises Inc,Royal Audi,300 S Van Ness Ave,4400-4599,Retail Trade,FALSE,"-122.417827, 37.768642"
Anderson Enterprises Inc,San Francisco Volvo,285 Van Ness Ave,4400-4599,Retail Trade,FALSE,"-122.417827, 37.768642"
Anderson Enterprises Inc,San Francisco Mazda,280 S Van Ness Ave,4400-4599,Retail Trade,FALSE,"-122.417827, 37.768642"
Anderson Enterprises Inc,Royal Volkswagen,280 S Van Ness Ave,4400-4599,Retail Trade,FALSE,"-122.417827, 37.768642"
Anderson Enterprises Inc,Royal Motors Volvo,285 Van Ness Ave,4400-4599,Retail Trade,FALSE,"-122.417827, 37.768642"
Anderson Enterprises Inc,Royal Motors Volkswagen,280 S Van Ness Ave,4400-4599,Retail Trade,FALSE,"-122.417827, 37.768642"
Anderson Enterprises Inc,Royal Motors Audi,300 S Van Ness Ave,4400-4599,Retail Trade,FALSE,"-122.417827, 37.768642"
Anderson Enterprises Inc,Royal Motors,285 Van Ness Ave,4400-4599,Retail Trade,FALSE,"-122.417827, 37.768642"
Anderson Enterprises Inc,Royal Volvo,285 Van Ness Ave,4400-4599,Retail Trade,FALSE,"-122.417827, 37.768642"
